product_name,categories_tags,countries_en,ingredients_text,additives_tags
Cooked Shrimp Peeled And Deveined Tail Off,"en:seafood,en:frozen-foods,en:frozen-seafood",United States,"Cooked shrimp, sodium tripolyphosphate (for moisture retention), salt.","en:e452,en:e452vi"
Shell-on shrimp,"en:seafood,en:frozen-foods,en:frozen-seafood",United States,"Gulf shrimp, sodium bisulfite (preservative).",en:e222
"Lactaid, ice cream, vanilla","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, corn syrup, guar gum, locust bean gum, natural vanilla flavor, vanilla beans, lactase enzyme*.","en:e410,en:e412"
Natural ice cream,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, corn syrup, cocoa (processed with alkali), guar gum, locust bean gum, carrageenan, lactase enzyme.*","en:e407,en:e410,en:e412"
"Lactaid, ice cream, butter pecan","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, corn syrup, pecans (pecans, cottonseed oil, salt), natural flavor, guar gum, locust bean gum, lactase enzyme*","en:e410,en:e412"
Teriyaki beef with pineapple rice,en:frozen-foods,United States,"Water, beef and starch steak strips (beef, water, less than 2% corn starch, salt, natural flavor, spice), rice (enriched long grain parboiled rice, iron [ferric orthophosphate], niacin, thiamin [thiamin mononitrate], and folic acid), pineapple juice, brown sugar, pineapple, soy sauce (water, soybeans, wheat, salt, alcohol [to preserve freshness]), carrots, baby corn, onions, bell peppers, modified food starch, rice wine vinegar (rice wine vinegar, sugar, salt, potassium metabisulfite [as a preservative]), olive oil, salt, chicken broth, green onion, garlic, xanthan gum, white pepper, ginger ground, black pepper.","en:e224,en:e415"
Casoncelli alla bresciana,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:frozen-foods,en:specific-products,en:pastas,en:products-for-specific-diets,en:products-without-gluten,it:casoncelli",Italy,"Ingredienti miscela di farine composte de amido di meis, farine di riso, fecole di patate. fibre vegetali, destrosio, E464, fruttosio e sorbitolo uova intere pastorizzate.acque Per il ripieno pen grattato (miscele di amido di meis, ferine di riso, fecole di petete, fibre vegetall. destrosio, E464, sorbitolo Olio d'olive, lievito di birre,sele lodeto).Formeggio stagionato grattuggiato uove burro (naturalmente privo di lettosio&lt;0.1%)( latte, sale. caglio. conservante lisozime de (lattosio&lt;0 196) brodo vegetale (cipolle, carote, sedano ).prezzemolo, eglio,pepe.noce moscate. CAR2. Può contenere tracce di: frutte e guscio, latte, soia, sesamo,",en:e464
Mochi pistache,"en:snacks,en:desserts,en:sweet-snacks,en:frozen-foods,en:biscuits-and-cakes,en:frozen-desserts,en:pastries,en:mochi",France,"lait écrémé réhydraté, sirop de glucose, farine de riz, lait entier, sucre, eau, huile de coco, tréhalose, crème (lait), pâte de pistache (1%), émulsifiants (mono et di - glycérides d'acides gras, esters de propylène glycol d'acides gras) stabilisants (gomme de caroube, carraghènane), arômes, colorants (complexe chlorophylle-cuivre, curcumine).","en:e100,en:e407,en:e410,en:e471,en:e477"
Ice cream sticks Vanilla,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-bars,en:vanilla-ice-cream-bars",France,"Eau, protéines de LAIT, blanc d'OEUF en poudre, édulcorant : xylitol, huile de coco, inuline, maltodextrine, édulcorant : érythritol, émulsifiant : mono - et diglycérides d'acides gras ; arômes, stabilisants : gomme de caroube, gomme de guar.","en:e410,en:e412,en:e471,en:e967,en:e968"
Avocats surgelés,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:frozen-foods,en:fruits-based-foods,en:frozen-plant-based-foods,en:fruits,en:tropical-fruits,en:frozen-fruits,en:avocados,en:frozen-tropical-fruits,en:frozen-avocados",France,"99% Avocats (Persea Americana), acide ascorbique, acide citrique.",en:e330
