unique_key,cas_number,smiles,is_complex_mixture,match_method,mw,xlogp
E100,458-37-7,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,False,Match (E100),368.4,3.2
E1000,81-25-4,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,False,Match (Cholic acid),408.6,3.6
E1001,Unknown,,True,No Match,,
E101,83-88-5,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,False,Match (E101),376.4,-1.5
E101A,146-17-8,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,False,Match (E101A),456.3,-2.6
E101I,83-88-5,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,False,Match (Riboflavin),376.4,-1.5
E101II,Unknown,,True,No Match,,
E102,1934-21-0,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],False,Match (E102),534.4,
E103,517-88-4,CC(=CC[C@@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C,False,Match (E103),288.29,3.0
E104,1803038-62-1,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],False,Match (Chinolingelb),477.4,
E105,79873-36-2,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],False,Match (E105),401.3,
E106,130-40-5,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)[O-])O)O)O.[Na+],False,Match (E106),478.3,
E107,Unknown,CC1=C(C(=O)N(N1)C2=CC(=C(C=C2Cl)S(=O)(=O)[O-])Cl)N=NC3=CC=C(C=C3)S(=O)(=O)[O-].[Na+].[Na+],False,Match (E107),551.3,
E110,2783-94-0,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],False,Match (E110),452.4,
E1100,4027-57-0,CCOC(=O)C1=NNC(=C1)C,False,Match (E1100),154.17,1.2
E1101,Unknown,CC(C)OC(=O)OC(C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)/C(=N\O)/C3=CSC(=N3)N)COC(=O)N(C)C,False,Match (E1101),600.6,0.8
