queried_name,pubchem_name,cid,smiles,mw,xlogp,tpsa,complexity,norm_load,pca_1,pca_2,PCI,BDS,CIB,synergy_score
Tocopherol,"2,7,8-trimethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydrochromen-6-ol",14986.0,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O,416.7,10.3,29.5,475.0,2.820329450478399,2.7453770451811916,1.0619861092069918,0.098248758242862,0.1,1.03,1.228
Neotame,"(3S)-3-(3,3-dimethylbutylamino)-4-[[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid",9810996.0,CC(C)(C)CCNC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)OC,378.5,-0.1,105.0,495.0,1.5110432920066161,-0.5577326113477594,1.2831873327107723,0.15105927769811422,1.0,-0.01,1.141
Stearic acid,octadecanoic acid,5281.0,CCCCCCCCCCCCCCCCCC(=O)O,284.5,7.4,37.3,202.0,1.2885037823524355,1.8346042645284075,0.23177338002746056,0.19273225142562475,0.1,0.74,1.033
Glycerol monostearate,"2,3-dihydroxypropyl octadecanoate",24699.0,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,358.6,7.4,66.8,281.0,2.5114632472005214,1.5002285539507094,1.0115788012240035,0.16474496199399946,0.1,0.74,1.005
Sucralose,"(2R,3R,4R,5R,6R)-2-[(2R,3S,4S,5S)-2,5-bis(chloromethyl)-3,4-dihydroxyoxolan-2-yl]oxy-5-chloro-6-(hydroxymethyl)oxane-3,4-diol",71485.0,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O,397.6,-1.5,129.0,405.0,1.834870124049289,-1.1758843730203714,1.6142102963705225,0.08601797688579921,1.0,-0.15,0.936
Palmitic acid,hexadecanoic acid,985.0,CCCCCCCCCCCCCCCC(=O)O,256.42,6.4,37.3,178.0,0.8184863549958021,1.5894984819066058,0.023270806135813112,0.19273225142562475,0.1,0.64,0.933
Oleic acid,(Z)-octadec-9-enoic acid,445639.0,CCCCCCCCC=CCCCCCCCC(=O)O,282.5,6.5,37.3,234.0,1.0282631388817338,1.6509062096615614,0.18692097180378459,0.16881739688378625,0.1,0.65,0.919
Aspartame,(3S)-3-amino-4-[[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid,134601.0,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,294.3,-2.7,119.0,380.0,0.5451356992222074,-1.4271939861333844,0.8266986683727338,0.15950221656102648,1.0,-0.27,0.89
Erythrosine,"3',6'-dihydroxy-2',4',5',7'-tetraiodospiro[2-benzofuran-3,9'-xanthene]-1-one",3259.0,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)O)I)I)O)I,835.9,6.0,76.0,645.0,5.68662162540438,1.8352364787942064,3.9910640670700337,0.10205617265475056,0.1,0.6,0.802
Butylated hydroxytoluene,"2,6-ditert-butyl-4-methylphenol",31404.0,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,220.35,5.3,20.2,207.0,-0.14324787525657268,1.5735914334767074,-0.4263379674444434,0.11659973033461855,0.1,0.53,0.747
Biphenyl,"1,1'-biphenyl",7095.0,C1=CC=C(C=C1)C2=CC=CC=C2,154.21,4.0,0.0,100.0,-1.4440781584976745,1.5173755715859,-1.101865062849418,0.09735048428103749,0.1,0.4,0.597
